Gregorian Date,Weekday,Tilburian Day (Year),Tilburian Cycle Year,Tilburian Day (Month),Tilburian Month,Festival
"Tuesday, April 01, 2025",Tuesday,1,15 Year of the Cabbage,1,mensis Pauli,Festival of Kupus
"Wednesday, April 02, 2025",Wednesday,2,15 Year of the Cabbage,2,mensis Pauli,
"Thursday, April 03, 2025",Thursday,3,15 Year of the Cabbage,3,mensis Pauli,
"Friday, April 04, 2025",Friday,4,15 Year of the Cabbage,4,mensis Pauli,
"Saturday, April 05, 2025",Saturday,5,15 Year of the Cabbage,5,mensis Pauli,
"Sunday, April 06, 2025",Sunday,6,15 Year of the Cabbage,6,mensis Pauli,
"Monday, April 07, 2025",Monday,7,15 Year of the Cabbage,7,mensis Pauli,
"Tuesday, April 08, 2025",Tuesday,8,15 Year of the Cabbage,8,mensis Pauli,
"Wednesday, April 09, 2025",Wednesday,9,15 Year of the Cabbage,9,mensis Pauli,
"Thursday, April 10, 2025",Thursday,10,15 Year of the Cabbage,10,mensis Pauli,
"Friday, April 11, 2025",Friday,11,15 Year of the Cabbage,11,mensis Pauli,
"Saturday, April 12, 2025",Saturday,12,15 Year of the Cabbage,12,mensis Pauli,
"Sunday, April 13, 2025",Sunday,13,15 Year of the Cabbage,13,mensis Pauli,
"Monday, April 14, 2025",Monday,14,15 Year of the Cabbage,14,mensis Pauli,
"Tuesday, April 15, 2025",Tuesday,15,15 Year of the Cabbage,15,mensis Pauli,
"Wednesday, April 16, 2025",Wednesday,16,15 Year of the Cabbage,16,mensis Pauli,
"Thursday, April 17, 2025",Thursday,17,15 Year of the Cabbage,17,mensis Pauli,
"Friday, April 18, 2025",Friday,18,15 Year of the Cabbage,18,mensis Pauli,
"Saturday, April 19, 2025",Saturday,19,15 Year of the Cabbage,19,mensis Pauli,
"Sunday, April 20, 2025",Sunday,20,15 Year of the Cabbage,20,mensis Pauli,Easter Sunday of the Resurrection of the Lord
"Monday, April 21, 2025",Monday,21,15 Year of the Cabbage,21,mensis Pauli,Easter Octave
"Tuesday, April 22, 2025",Tuesday,22,15 Year of the Cabbage,22,mensis Pauli,Easter Octave
